Institution,Conference,Division,Reclass Division,State
Abilene Christian University,Southland Conference,II,I-FCS,TX
University of Akron,Mid-American Conference,I-FBS,,OH
University of Alabama,Southeastern Conference,I-FBS,,AL
Alabama A&M University,Southwestern Athletic Conf.,I-FCS,,AL
Alabama State University,Southwestern Athletic Conf.,I-FCS,,AL
University of Alabama at Birmingham,Conference USA,I-FBS,,AL
University at Albany,America East Conference,I-FCS,,NY
Alcorn State University,Southwestern Athletic Conf.,I-FCS,,MS
American University,Patriot League,I,,DC
Appalachian State University,Sun Belt Conference,I-FBS,,NC
University of Arizona,Pac-12 Conference,I-FBS,,AZ
Arizona State University,Pac-12 Conference,I-FBS,,AZ
Arkansas State University,Sun Belt Conference,I-FBS,,AR
University of Arkansas  Fayetteville,Southeastern Conference,I-FBS,,AR
University of Arkansas at Little Rock,Sun Belt Conference,I,,AR
University of Arkansas  Pine Bluff,Southwestern Athletic Conf.,I-FCS,,AR
Auburn University,Southeastern Conference,I-FBS,,AL
Austin Peay State University,Ohio Valley Conference,I-FCS,,TN
Ball State University,Mid-American Conference,I-FBS,,IN
Baylor University,Big 12 Conference,I-FBS,,TX
Belmont University,Ohio Valley Conference,I,,TN
Bethune-Cookman University,Mid-Eastern Athletic Conf.,I-FCS,,FL
Binghamton University,America East Conference,I,,NY
Boise State University,Mountain West Conference,I-FBS,,ID
Boston College,Atlantic Coast Conference,I-FBS,,MA
Boston University,Patriot League,I,,MA
Bowling Green State University,Mid-American Conference,I-FBS,,OH
Bradley University,Missouri Valley Conference,I,,IL
Brigham Young University,West Coast Conference,I-FBS,,UT
Brown University,The Ivy League,I-FCS,,RI
Bryant University,Northeast Conference,I-FCS,,RI
Bucknell University,Patriot League,I-FCS,,PA
University at Buffalo  the State University of New York,Mid-American Conference,I-FBS,,NY
Butler University,Big East Conference,I-FCS,,IN
California Polytechnic State University,Big West Conference,I-FCS,,CA
California State University  Bakersfield,Western Athletic Conference,I,,CA
California State University  Fresno,Mountain West Conference,I-FBS,,CA
California State University  Fullerton,Big West Conference,I,,CA
California State University  Northridge,Big West Conference,I,,CA
California State University  Sacramento,Big Sky Conference,I-FCS,,CA
University of California  Berkeley,Pac-12 Conference,I-FBS,,CA
University of California  Davis,Big West Conference,I-FCS,,CA
University of California  Irvine,Big West Conference,I,,CA
