UNIVERSITY,ENDOWMENT_NAME,STATE_PROVINCE,ENDOWMENT_2015,ENDOWMENT_2014,MARKET_VALUE_CHANGE,ENDOWMENT_2015_OVERRIDE
"Canisius College","Canisius College","NY",108878,104536,4.2,
"Capital University","Capital University","OH",73514,74333,-1.1,
"Cardinal Stritch University","Cardinal Stritch University, Inc.","WI",20210,19588,3.2,
"Carleton College","Carleton College","MN",783456,792737,-1.2,
"Carleton University","Carleton University","ON",168007,187878,-10.6,
"Carnegie Institution of Washington","Carnegie Institution of Washington","DC",995492,980103,1.6,
"Carnegie Mellon Universityiv","Carnegie Mellon University","PA",1739474,1599900,8.7,
"Carroll College","Carroll College","MT",40510,39868,1.6,
"Carroll University","Carroll University","WI",52607,52173,0.8,
"Carthage College","Carthage College","WI",84584,81000,4.4,
"Case Western Reserve University","Case Western Reserve University","OH",1775999,1758570,1,
"Catholic University of America","The Catholic University of America","DC",315657,308529,2.3,
"Cazenovia College","Cazenovia College","NY",31256,32209,-3,
"Cedar Crest College","Cedar Crest College","PA",26688,25980,2.7,
"Cedarville University","The Cedarville University","OH",27079,27251,-0.6,
"Centenary College","Centenary College","NJ",10603,10352,2.4,
"Central College","Central College","IA",78541,79888,-1.7,
"Central Michigan University","Central Michigan University","MI",109847,107871,1.8,
"Central Oregon Community College","Central Oregon Community College Foundation","OR",16408,16141,1.6,
"Central Piedmont Community College","Central Piedmont Community College Foundation, Inc.","NC",28006,28163,-0.6,
"Centre College","Centre College","KY",284697,263818,7.9,
"Chaminade University of Honolulu","Chaminade University of Honolulu","HI",14081,13643,3.2,
"Chapman University","Chapman University","CA",301272,273823,10,
"Chatham University","Chatham University","PA",96215,58366,64.8,
"Citadel Military College of South Carolina","The Citadel","SC",254324,244543,4,
"Claremont Graduate University","Claremont Graduate University","CA",184759,187581,-1.5,
"Claremont McKenna College","Claremont McKenna College","CA",733871,699493,4.9,
"Clark College","Clark College Foundation","WA",60177,57504,4.6,
"Clark University","Clark University","MA",404946,406407,-0.4,
"Clarke University","Clarke University","IA",32847,34510,-4.8,
"Clarkson University","Clarkson University","NY",186140,192918,-3.5,
"Clemson University","Clemson University & Foundation","SC",648611,623262,4.1,648611
"Cleveland Institute of Music","Cleveland Institute of Music","OH",42808,40977,4.5,
"Coastal Education","Coastal Education Foundation, Inc.","SC",32730,32229,1.6,
"Coe College","Coe College","IA",86777,91243,-4.9,
"Coker College","Coker College","SC",42712,40818,4.6,
"Colby College","Colby College","ME",745957,740631,0.7,
"Colgate University","Colgate University","NY",892231,865664,3.1,
"College of Central Florida","College of Central Florida Foundation, Inc.","FL",64975,63969,1.6,
"College of New Jersey","The College of New Jersey Foundation, Inc.","NJ",23862,24517,-2.7,
"College of Saint Benedict","College of Saint Benedict","MN",57788,55949,3.3,
"College of Saint Rose","The College of Saint Rose","NY",41856,42001,-0.3,
"College of St. Elizabeth","College of St. Elizabeth","NJ",19461,19526,-0.3,
"College of St. Joseph","College of St. Joseph","VT",3084,5720,-46.1,
"College of St. Scholastica","College of St. Scholastica","MN",69407,67074,3.5,
"College of William and Mary","College of William & Mary Foundation","VA",811217,797592,1.7,811217
"College of Wooster","The College of Wooster","OH",284215,281874,0.6,
"College of the Holy Cross","College of the Holy Cross","MA",721310,726053,-0.7,
"College of the Ozarks","College of the Ozarks","MO",442272,427477,3.5,
"Colorado College","Colorado College","CO",720085,680377,5.8,
"Colorado Mesa University","Colorado Mesa University Foundation","CO",24483,23013,6.4,
"Colorado School of Mines","Colorado School of Mines Foundation, Inc.","CO",272501,270844,0.6,
"Colorado State University","Colorado State University Foundation","CO",281355,284495,-1.1,281355
"Columbia College","Columbia College","MO",151816,119331,27.2,
"Columbia Theological Seminary","Columbia Theological Seminary","GA",201679,207822,-3,
"Columbia University in the City of New York","Columbia University","NY",9639065,9223047,4.5,
"Columbus State University","Columbus State University Foundation, Inc.","GA",50909,49424,3,
"Concordia College","Concordia College","MN",111305,110542,0.7,
"Concordia University--St. Paul","Concordia University, St. Paul","MN",41337,,,
"Connecticut College","Connecticut College","CT",283941,277965,2.1,
"Converse College","Converse College","SC",73915,75135,-1.6,
"Cooper Union","The Cooper Union","NY",738415,733777,2.2,
"Cornell College","Cornell College","IA",74517,73773,1,
"Cornell University","Cornell University","NY",6037546,5889948,2.5,
"Cornerstone University","Cornerstone University","MI",7432,7294,1.9,
"Cottey College","Cottey College","MO",104788,105787,-0.9,
"Creighton University","Creighton University","NE",449443,439784,2.2,
"Cuesta College","Cuesta College Foundation","CA",27366,27310,0.2,
"Culinary Institute of America","The Culinary Institute of America","NY",131233,128387,2.2,
"Culver-Stockton College","Culver-Stockton College","MO",21271,22761,-6.5,
"Dakota State University","Dakota State University Foundation","SD",10952,9794,7.6,
"Dalhousie University","Dalhousie University","NS",459475,400021,14.9,
"Dartmouth College","Dartmouth College","NH",4663491,4468219,4.4,
"Davidson College","Davidson College","NC",682500,649342,5.1,
"DePaul University","DePaul University","IL",438193,447196,-2,
"DePauw University","DePauw University","IN",643787,627746,2.6,
"DeSales University","DeSales University","PA",69168,66317,4.3,
"Defiance College","Defiance College","OH",17833,17761,0.4,
"Delaware Valley University","Delaware Valley University","PA",30152,32220,-6.4,
"Delta College","Delta College","MI",19485,17821,9.3,
"Denison University","Denison University","OH",797101,771760,3.3,
"Dickinson College","Dickinson College","PA",415079,396265,4.7,
"Doane College","Doane College","NE",114570,113722,0.7,
"Dominican University","Dominican University","IL",30057,27043,11.1,
"Drake University","Drake University","IA",196490,186283,5.5,
"Drew University","Drew University","NJ",214389,217082,-1.2,
"Drexel University","Drexel University","PA",668386,660150,1.2,
"Drury University","Drury University","MO",88842,86604,2.6,
"Duke University","Duke University","NC",7296545,7036776,3.7,
"Duquesne University","Duquesne University of the Holy Spirit","PA",296807,302453,-1.9,
"Earlham College","Earlham College","IN",405520,404999,0.1,
"East Carolina University","East Carolina University","NC",170015,164065,3.6,
"East Tennessee State University","East Tennessee State University","TN",113292,115078,-1.6,
"Eastern Illinois University","Eastern Illinois University Foundation","IL",76337,74569,2.4,76337
"Eastern Kentucky University","Eastern Kentucky University Foundation","KY",60171,61516,-2.2,
"Eastern Mennonite University","Eastern Mennonite University","VA",26075,25587,1.9,
"Eastern Michigan University","Eastern Michigan University Foundation","MI",65655,66301,-1,
"Eastern Virginia Medical School","Eastern Virginia Medical School Foundation","VA",74071,72187,2.6,
"Eastern Washington University","Eastern Washington University Foundation","WA",18279,17659,3.5,
"Eckerd College","Eckerd College","FL",55739,54489,2.3,
"Elgin Community College","Elgin Community College Foundation","IL",5410,5280,2.5,
"Elizabethtown College","Elizabethtown College","PA",69815,67654,3.2,
"Elon University","Elon University","NC",211405,188851,11.9,
"Embry-Riddle Aeronautical University","Embry-Riddle Aeronautical University","FL",111151,107925,3,
"Emmanuel College","Emmanuel College","MA",97348,96496,0.9,
"Emory University","Emory University","GA",6684305,6681479,0,
"Emory and Henry College","Emory & Henry College","VA",92151,92151,-4.9,
"Emporia State University","Emporia State University Foundation","KS",79994,79992,0,
"Endicott College","Endicott College","MA",64556,62288,3.6,
"Fairfield University","Fairfield University","CT",317035,313093,1.3,
"Fairleigh Dickinson University","Fairleigh Dickinson University","NJ",65690,56586,16.1,
"Fayetteville State University","Fayetteville State University","NC",19781,19245,2.8,
"Ferris State","Ferris Foundation","MI",48524,46322,4.8,
"Ferrum College","Ferrum College","VA",48205,48790,-1.2,
"Fisk University","Fisk University","TN",20568,20881,-1.5,
"Fitchburg State University","Fitchburg State University Foundation, Inc.","MA",15803,14888,6.1,
"Five Colleges","Five Colleges, Inc.","MA",11408,12013,-5,
"Flagler College","Flagler College Inc.","FL",62703,63171,-0.7,
"Florida Atlantic University","Florida Atlantic University","FL",204799,208521,-1.8,
"Florida Gateway College","The Foundation for Florida Gateway College, Inc.","FL",13657,13311,2.6,
"Florida Institute of Technology","Florida Institute of Technology","FL",66240,63423,4.4,
"Florida International University'","Florida International University Foundation, Inc.","FL",178750,176500,1.3,
"Florida Southern College","Florida Southern College","FL",67537,68790,-1.8,
"Florida State College at Jacksonville","Florida State College at Jacksonville","FL",39043,39496,-1.1,
"Florida State University","The Florida State University Foundation","FL",605275,624557,-3.1,605275
"Fordham University","Fordham University","NY",665532,675054,-1.4,
"Fort Hays State University","Fort Hays State University Foundation","KS",70959,64303,10.4,
"Franklin College","Franklin College","IN",84716,,,
"Franklin University","Franklin University","OH",83038,85817,-3.2,
"Franklin W. Olin College of Engineering","Franklin W. Olin College of Engineering","MA",379430,380328,-0.2,
"Franklin and Marshall College","Franklin & Marshall College","PA",334620,339204,-1.4,
"Fredonia State University of New York","Fredonia State University of New York","NY",28972,28957,0.1,
"Freed-Hardeman University","Freed-Hardeman University","TN",50012,43160,15.9,
"Friends University","Friends University","KS",45765,48217,-5.1,
"Furman University","Furman University","SC",631397,650035,-2.9,
"Gallaudet University","Gallaudet University","DC",189471,203645,-7,
"Gannon University","Gannon University","PA",58151,56142,3.6,
"George Mason University","George Mason University Foundation, Inc.","VA",72245,69554,3.9,72245
"George Washington University","The George Washington University","DC",1616357,1576508,2.5,
"Georgetown University","Georgetown University","DC",1528869,1461276,4.6,
"Georgia Institute of Technology","Georgia Institute of Technology & Related Foundations","GA",1858977,1889014,-1.6,1858977
"Georgia Southern University","Georgia Southern University Foundation, Inc.","GA",49003,49157,-0.3,49003
"Georgia Southwestern","Georgia Southwestern Foundation, Inc.","GA",28821,29208,-1.3,
"Georgia State University","Georgia State University Foundation","GA",135418,133296,1.6,135418
"Georgian Court University","Georgian Court University","NJ",51731,51288,0.9,
"Gettysburg College","Gettysburg College","PA",284488,285611,-0.4,
"Golden Gate University","Golden Gate University","CA",62322,70243,-11.3,
"Gonzaga University","Gonzaga University","WA",185647,164885,12.6,
"Goshen College","Goshen College","IN",110476,117507,-6,
"Goucher College","Goucher College","MD",216707,227559,-4.8,
"Graceland University","Graceland University","IA",46310,44773,3.4,
"Graduate Theological Union","Graduate Theological Union","CA",33256,33458,-0.6,
"Grand Valley State University","Grand Valley State University","MI",104413,103153,1.2,
"Grand View University","Grand View University","IA",19696,20493,-3.9,
"Grinnell College","Grinnell College","IA",1787775,1829521,-2.3,
"Guilford College","Guilford College","NC",77801,79930,-2.7,
"Gustavus Adolphus College","Gustavus Adolphus College","MN",144934,141394,2.5,
"Hamilton College","Hamilton College","NY",856067,858839,-0.3,
"Hamline University","Hamline University","MN",93570,93570,0.4,
