"RANK","NAME","COUNTRY","REGION"
"351","University of Manitoba","Canada","North America"
"352","Polytechnic University of Milan","Italy","Europe"
"352","Queensland University of Technology","Australia","Australia/New Zealand"
"352","Université de Savoie","France","Europe"
"352","University of Genoa","Italy","Europe"
"352","Vita-Salute San Raffaele University","Italy","Europe"
"352","Xi'an Jiaotong University","China","Asia"
"358","Tulane University","United States","North America"
"359","University at Albany--SUNY","United States","North America"
"360","Curtin University of Technology","Australia","Australia/New Zealand"
"360","University of Tehran","Iran","Asia"
"360","Xiamen University","China","Asia"
"363","University of Stuttgart","Germany","Europe"
"364","Keio University","Japan","Asia"
"365","James Cook University","Australia","Australia/New Zealand"
"365","National Central University","Taiwan","Asia"
"365","Union School of Public Health - Peking Union Medical College","China","Asia"
"365","Universidade Estadual Paulista","Brazil","Latin America"
"369","National Chiao Tung University","Taiwan","Asia"
"369","Rensselaer Polytechnic Institute","United States","North America"
"371","Czech Technical University in Prague","Czech Republic","Europe"
"371","Stellenbosch University","South Africa","Africa"
"373","Universidade Federal do Rio Grande do Sul","Brazil","Latin America"
"374","Tongji University","China","Asia"
"375","Aalto University","Finland","Europe"
"375","University of Turku","Finland","Europe"
"377","Okayama University","Japan","Asia"
"377","Sharif University of Technology","Iran","Asia"
"377","Syracuse University","United States","North America"
"377","Université Montpellier 1","France","Europe"
"381","Temple University","United States","North America"
"381","University of Alabama--Tuscaloosa","United States","North America"
"383","Chalmers University of Technology","Sweden","Europe"
"383","University of Canterbury","New Zealand","Australia/New Zealand"
"385","York University","Canada","North America"
"386","University of Bari","Italy","Europe"
"386","University of Bremen","Germany","Europe"
"388","Linköping University","Sweden","Europe"
"388","University of Belgrade","Serbia","Europe"
"390","Boston College","United States","North America"
"390","China Agricultural University","China","Asia"
"390","University of Guelph","Canada","North America"
"393","Aristotle University of Thessaloniki","Greece","Europe"
"393","Université de Versailles Saint-Quentin-en-Yvelines","France","Europe"
"395","University of Tasmania","Australia","Australia/New Zealand"
"396","Drexel University","United States","North America"
"397","University of Southern Denmark","Denmark","Europe"
"398","Southeast University","China","Asia"
"398","Swedish University of Agricultural Sciences","Sweden","Europe"
"398","University of Siena","Italy","Europe"
"401","Dalian University of Technology","China","Asia"
"401","George Mason University","United States","North America"
"401","Indiana University-Purdue University--Indianapolis","United States","North America"
"401","Kobe University","Japan","Asia"
