RANK,NAME,LOCATION
635,California Baptist University,"Riverside, CA"
635,Georgia Southern University,"Statesboro, GA"
635,Adrian College,"Adrian, MI"
638,Eckerd College,"Saint Petersburg, FL"
638,University of Missouri--Kansas City,"Kansas City, MO"
638,Virginia State University,"Petersburg, VA"
641,Pratt Institute,"Brooklyn, NY"
642,University of Alabama--Tuscaloosa,"Tuscaloosa, AL"
643,Indiana University of Pennsylvania,"Indiana, PA"
644,Northern Arizona University,"Flagstaff, AZ"
645,Endicott College,"Beverly, MA"
646,Bridgewater College,"Bridgewater, VA"
647,Martin Methodist College,"Pulaski, TN"
648,Drury University,"Springfield, MO"
649,Loyola University New Orleans,"New Orleans, LA"
650,Georgia State University,"Atlanta, GA"
650,California University of Pennsylvania,"California, PA"
652,Framingham State University,"Framingham, MA"
653,Concordia University--Wisconsin,"Mequon, WI"
653,Western Kentucky University,"Bowling Green, KY"
655,Cleveland Institute of Art,"Cleveland, OH"
656,Jackson State University,"Jackson, MS"
656,Berry College,"Mount Berry, GA"
658,Southeast Missouri State University,"Cape Girardeau, MO"
659,Goucher College,"Baltimore, MD"
660,Pennsylvania College of Technology,"Williamsport, PA"
661,Grand View University,"Des Moines, IA"
662,Eastern Connecticut State University,"Willimantic, CT"
663,Columbus College of Art and Design,"Columbus, OH"
664,College for Creative Studies,"Detroit, MI"
664,Roanoke College,"Salem, VA"
666,Philadelphia University,"Philadelphia, PA"
667,Northern Michigan University,"Marquette, MI"
668,Kutztown University of Pennsylvania,"Kutztown, PA"
669,William Paterson University of New Jersey,"Wayne, NJ"
670,University of the Arts,"Philadelphia, PA"
671,Virginia Commonwealth University,"Richmond, VA"
671,Clarion University of Pennsylvania,"Clarion, PA"
673,Emmanuel College--Boston,"Boston, MA"
674,Florida Southern College,"Lakeland, FL"
675,Stetson University,"DeLand, FL"
675,Belmont University,"Nashville, TN"
677,King's College,"Wilkes-Barre, PA"
678,Ringling College of Art and Design,"Sarasota, FL"
679,Point Park University,"Pittsburgh, PA"
679,Alcorn State University,"Alcorn State, MS"
681,Guilford College,"Greensboro, NC"
681,Maryland Institute College of Art,"Baltimore, MD"
683,Lasell College,"Newton, MA"
684,Seton Hill University,"Greensburg, PA"
685,Edinboro University of Pennsylvania,"Edinboro, PA"
685,SUNY College of Agriculture and Technology at Cobleskill,"Cobleskill, NY"
687,Roger Williams University,"Bristol, RI"
688,New School,"New York, NY"
689,Bennett College,"Greensboro, NC"
690,University of Dubuque,"Dubuque, IA"
691,Arizona Christian University,"Phoenix, AZ"
692,Arcadia University,"Glenside, PA"
693,University of Valley Forge,"Phoenixville, PA"
693,Carthage College,"Kenosha, WI"
695,Winthrop University,"Rock Hill, SC"
696,Lindsey Wilson College,"Columbia, KY"
697,Kent State University,"Kent, OH"
698,Hope International University,"Fullerton, CA"
699,University of Tampa,"Tampa, FL"
700,North Carolina Central University,"Durham, NC"
701,Claflin University,"Orangeburg, SC"
702,Savannah College of Art and Design,"Savannah, GA"
703,High Point University,"High Point, NC"
704,Oakwood University,"Huntsville, AL"
705,Miles College,"Fairfield, AL"
